Kazakh	I	U+0406	i	Krippes 1997	
Kazakh	i	U+0456	i	Krippes 1997	
Kazakh	Ё	U+0401	ɵ	Krippes 1997	
Kazakh	А	U+0410	a	Krippes 1997	
Kazakh	Б	U+0411	b	Krippes 1997	
Kazakh	В	U+0412	v	Krippes 1997	
Kazakh	Г	U+0425	g	Krippes 1997	
Kazakh	Д	U+0414	d	Krippes 1997	
Kazakh	Е	U+0415	e	Krippes 1997	
Kazakh	Ж	U+0416	ʒ	Krippes 1997	
Kazakh	З	U+0417	z	Krippes 1997	
Kazakh	И	U+0418	iy	Krippes 1997	
Kazakh	Й	U+0419	y	Krippes 1997	
Kazakh	К	U+041A	k	Krippes 1997	
Kazakh	Л	U+041B	l	Krippes 1997	
Kazakh	М	U+041C	m	Krippes 1997	
Kazakh	Н	U+041D	n	Krippes 1997	
Kazakh	О	U+041E	o	Krippes 1997	
Kazakh	П	U+041F	p	Krippes 1997	
Kazakh	Р	U+0420	r	Krippes 1997	
Kazakh	С	U+0421	s	Krippes 1997	
Kazakh	Т	U+0422	t	Krippes 1997	
Kazakh	У	U+0423	u:w	Krippes 1997	
Kazakh	Ф	U+0424	f	Krippes 1997	
Kazakh	Х	U+0425	x	Krippes 1997	
Kazakh	Ц	U+0426	ts	Krippes 1997	
Kazakh	Ч	U+0427	tʃ	Krippes 1997	
Kazakh	Ш	U+0428	ʃ	Krippes 1997	
Kazakh	Щ	U+0429	ɕː	Krippes 1997	
Kazakh	Ы	U+042B	ï	Krippes 1997	
Kazakh	Э	U+042D	ɛ	Krippes 1997	
Kazakh	Ю	U+042E	ʉ	Krippes 1997	
Kazakh	Я	U+042F	æ	Krippes 1997	
Kazakh	а	U+0430	a	Krippes 1997	
Kazakh	б	U+0431	b	Krippes 1997	
Kazakh	в	U+0432	v	Krippes 1997	
Kazakh	г	U+0445	g	Krippes 1997	
Kazakh	д	U+0434	d	Krippes 1997	
Kazakh	е	U+0435	e	Krippes 1997	
Kazakh	ж	U+0436	ʒ	Krippes 1997	
Kazakh	з	U+0437	z	Krippes 1997	
Kazakh	и	U+0438	iy	Krippes 1997	
Kazakh	й	U+0439	y	Krippes 1997	
Kazakh	к	U+043A	k	Krippes 1997	
Kazakh	л	U+043B	l	Krippes 1997	
Kazakh	м	U+043C	m	Krippes 1997	
Kazakh	н	U+043D	n	Krippes 1997	
Kazakh	о	U+043E	o	Krippes 1997	
Kazakh	п	U+043F	p	Krippes 1997	
Kazakh	р	U+0440	r	Krippes 1997	
Kazakh	с	U+0441	s	Krippes 1997	
Kazakh	т	U+0442	t	Krippes 1997	
Kazakh	у	U+0443	u:w	Krippes 1997	
Kazakh	ф	U+0444	f	Krippes 1997	
Kazakh	х	U+0445	x	Krippes 1997	
Kazakh	ц	U+0446	ts	Krippes 1997	
Kazakh	ч	U+0447	tʃ	Krippes 1997	
Kazakh	ш	U+0448	ʃ	Krippes 1997	
Kazakh	щ	U+0449	ɕː	Krippes 1997	
Kazakh	ы	U+044B	ï	Krippes 1997	
Kazakh	э	U+044D	ɛ	Krippes 1997	
Kazakh	ю	U+044E	ʉ	Krippes 1997	
Kazakh	я	U+044F	æ	Krippes 1997	
Kazakh	ё	U+0451	ɵ	Krippes 1997	
Kazakh	Ғ	U+0492	ɣ	Krippes 1997	
Kazakh	ғ	U+0493	ɣ	Krippes 1997	
Kazakh	Қ	U+049A	q	Krippes 1997	
Kazakh	қ	U+049B	q	Krippes 1997	
Kazakh	Ң	U+04A2	ŋ	Krippes 1997	
Kazakh	ң	U+04A3	ŋ	Krippes 1997	
Kazakh	Ү	U+04AE	u:	Krippes 1997	
Kazakh	ү	U+04AF	u:	Krippes 1997	
Kazakh	Ұ	U+04B0	u	Krippes 1997	
Kazakh	ұ	U+04B1	u	Krippes 1997	
Kazakh	Һ	U+04BA	h	Krippes 1997	
Kazakh	һ	U+04BB	h	Krippes 1997	
Kazakh	Ә	U+04D9	æ	Krippes 1997	
Kazakh	Ө	U+04E8	ө:	Krippes 1997	
Kazakh	ө	U+04E9	ө:	Krippes 1997	
